ColumnCombinationBitset 000000001;ColumnCombinationBitset 0000000000000000000001
ColumnCombinationBitset 0000000010000000000001;ColumnCombinationBitset 000000000000001
ColumnCombinationBitset 0000000010000010000001;ColumnCombinationBitset 00001
ColumnCombinationBitset 0000100010000010000001;ColumnCombinationBitset 0000000000000000000000000000000000000000000000000000000001
ColumnCombinationBitset 0000100010000010000001000000000000000000000000000000000001;ColumnCombinationBitset 000000000000000000000000000000000000000000000001
ColumnCombinationBitset 0000100010000010000001000000000000000000000000010000000001;ColumnCombinationBitset 00000001
ColumnCombinationBitset 0000100110000010000001000000000000000000000000010000000001;ColumnCombinationBitset 00000000000000000000000000000000000000000000000000000000001
ColumnCombinationBitset 00001001100000100000010000000000000000000000000100000000011;ColumnCombinationBitset 0000000000000000000000000000001
ColumnCombinationBitset 00001001100000100000010000000010000000000000000100000000011;ColumnCombinationBitset 000000000000000000000000000000000000000000000000000000001
ColumnCombinationBitset 00001001100000100000010000000010000000000000000100000000111;ColumnCombinationBitset 0000000000000000001
ColumnCombinationBitset 00001001100000100010010000000010000000000000000100000000111;ColumnCombinationBitset 000000000000000001
ColumnCombinationBitset 00001001100000100110010000000010000000000000000100000000111;ColumnCombinationBitset 0000000000000000000000000000000000000000000001
ColumnCombinationBitset 00001001100000100110010000000010000000000000010100000000111;ColumnCombinationBitset 000000000000000000000000000000000000000000000000001
ColumnCombinationBitset 00001001100000100110010000000010000000000000010100100000111;ColumnCombinationBitset 00000000000000000000000000000000000000000000000000000000000001
ColumnCombinationBitset 00001001100000100110010000000010000000000000010100100000111001;ColumnCombinationBitset 00000000000001
ColumnCombinationBitset 00001001100001100110010000000010000000000000010100100000111001;ColumnCombinationBitset 00000000000000000000000001
ColumnCombinationBitset 00001001100001100110010001000010000000000000010100100000111001;ColumnCombinationBitset 0000000000000000000000001
ColumnCombinationBitset 00001001100001100110010011000010000000000000010100100000111001;ColumnCombinationBitset 000000000000000000000000000000000000000001
ColumnCombinationBitset 00001001100001100110010011000010000000000100010100100000111001;ColumnCombinationBitset 0000000001
ColumnCombinationBitset 00001001110001100110010011000010000000000100010100100000111001;ColumnCombinationBitset 0000000000001
ColumnCombinationBitset 00001001110011100110010011000010000000000100010100100000111001;ColumnCombinationBitset 0000000000000000000000000000000000000000000000000001
ColumnCombinationBitset 00001001110011100110010011000010000000000100010100110000111001;ColumnCombinationBitset 00000000000000000000001
ColumnCombinationBitset 00001001110011100110011011000010000000000100010100110000111001;ColumnCombinationBitset 000000000000000000000000000000000000000000000000000000000000001
ColumnCombinationBitset 000010011100111001100110110000100000000001000101001100001110011;ColumnCombinationBitset 000000000000000000000000000000000000000000000000000000000001
ColumnCombinationBitset 000010011100111001100110110000100000000001000101001100001111011;ColumnCombinationBitset 00000000000000000000000000001
ColumnCombinationBitset 000010011100111001100110110010100000000001000101001100001111011;ColumnCombinationBitset 0000000000000000000000000000000000000000000000000000001
ColumnCombinationBitset 000010011100111001100110110010100000000001000101001100101111011;ColumnCombinationBitset 001
ColumnCombinationBitset 001010011100111001100110110010100000000001000101001100101111011;ColumnCombinationBitset 000000000000000000001
ColumnCombinationBitset 001010011100111001101110110010100000000001000101001100101111011;ColumnCombinationBitset 000000000000000000000000000000000001
ColumnCombinationBitset 001010011100111001101110110010100001000001000101001100101111011;ColumnCombinationBitset 00000000000000000000000000000000000001
ColumnCombinationBitset 001010011100111001101110110010100001010001000101001100101111011;ColumnCombinationBitset 000001
ColumnCombinationBitset 001011011100111001101110110010100001010001000101001100101111011;ColumnCombinationBitset 000000000000000000000001
ColumnCombinationBitset 001011011100111001101111110010100001010001000101001100101111011;ColumnCombinationBitset 000000000000000000000000000000000000001
ColumnCombinationBitset 001011011100111001101111110010100001011001000101001100101111011;ColumnCombinationBitset 000000000000000000000000000001
ColumnCombinationBitset 001011011100111001101111110011100001011001000101001100101111011;ColumnCombinationBitset 0000000000000001
ColumnCombinationBitset 001011011100111101101111110011100001011001000101001100101111011;ColumnCombinationBitset 0000000000000000000000000000000001
ColumnCombinationBitset 001011011100111101101111110011100101011001000101001100101111011;ColumnCombinationBitset 0000000000000000000000000000000000000000001
ColumnCombinationBitset 001011011100111101101111110011100101011001100101001100101111011;ColumnCombinationBitset 00000000000000000000000000000000000000000000000000001
ColumnCombinationBitset 001011011100111101101111110011100101011001100101001110101111011;ColumnCombinationBitset 000000000000000000000000000000001
ColumnCombinationBitset 001011011100111101101111110011101101011001100101001110101111011;ColumnCombinationBitset 0000000000000000000000000000000000001
ColumnCombinationBitset 001011011100111101101111110011101101111001100101001110101111011;ColumnCombinationBitset 0000000000000000000000000000000000000000000000001
ColumnCombinationBitset 001011011100111101101111110011101101111001100101101110101111011;ColumnCombinationBitset 00000000001
ColumnCombinationBitset 001011011110111101101111110011101101111001100101101110101111011;ColumnCombinationBitset 0000000000000000000000000000000000000000000000000000000000001
ColumnCombinationBitset 001011011110111101101111110011101101111001100101101110101111111;ColumnCombinationBitset 00000000000000001
ColumnCombinationBitset 001011011110111111101111110011101101111001100101101110101111111;ColumnCombinationBitset 00000000000000000000000000000000000000001
ColumnCombinationBitset 001011011110111111101111110011101101111011100101101110101111111;ColumnCombinationBitset 00000000000000000000000000000000000000000001
ColumnCombinationBitset 001011011110111111101111110011101101111011110101101110101111111;ColumnCombinationBitset 00000000000000000000000000000000000000000000001
ColumnCombinationBitset 001011011110111111101111110011101101111011110111101110101111111;ColumnCombinationBitset 0000000000000000000000000001
ColumnCombinationBitset 001011011110111111101111110111101101111011110111101110101111111;ColumnCombinationBitset 000000000001
ColumnCombinationBitset 001011011111111111101111110111101101111011110111101110101111111;ColumnCombinationBitset 00000000000000000000000000000000000000000000000000000001
ColumnCombinationBitset 001011011111111111101111110111101101111011110111101110111111111;ColumnCombinationBitset 01
ColumnCombinationBitset 011011011111111111101111110111101101111011110111101110111111111;ColumnCombinationBitset 000000000000000000000000000000000000000000000000000001
ColumnCombinationBitset 011011011111111111101111110111101101111011110111101111111111111;ColumnCombinationBitset 00000000000000000000000000000001
ColumnCombinationBitset 011011011111111111101111110111111101111011110111101111111111111;ColumnCombinationBitset 000000000000000000000000000000000000000000001
ColumnCombinationBitset 011011011111111111101111110111111101111011111111101111111111111;ColumnCombinationBitset 1
ColumnCombinationBitset 111011011111111111101111110111111101111011111111101111111111111;ColumnCombinationBitset 0000000000000000000000000000000000000001
ColumnCombinationBitset 111011011111111111101111110111111101111111111111101111111111111;ColumnCombinationBitset 00000000000000000000000000000000001
ColumnCombinationBitset 111011011111111111101111110111111111111111111111101111111111111;ColumnCombinationBitset 000000000000000000000000001
ColumnCombinationBitset 111011011111111111101111111111111111111111111111101111111111111;ColumnCombinationBitset 0001
ColumnCombinationBitset 111111011111111111101111111111111111111111111111101111111111111;ColumnCombinationBitset 00000000000000000000000000000000000000000000000001
ColumnCombinationBitset 111111011111111111101111111111111111111111111111111111111111111;ColumnCombinationBitset 0000001
ColumnCombinationBitset 111111111111111111101111111111111111111111111111111111111111111;ColumnCombinationBitset 00000000000000000001
